DDb-hybrid (match),Checklist (replace-with),TM (replace),Replace?,Regex?,Notes,,,,
p.erl.diosp,P.Erl.Diosp.,P. Erl. Diospolis,TRUE,FALSE,,,,,
p.fay,P.Fay.,P. Fay.,TRUE,FALSE,,,,,
feste,Feste,P. Feste,TRUE,FALSE,,,,,
p.flor,P.Flor.,P. Flor.,TRUE,FALSE,,,,,
p.forshall,P.Forshall,P. Forshall,TRUE,FALSE,,,,,
p.fouad,P.Fouad,P. Fouad,TRUE,FALSE,,,,,
p.frankf,P.Frankf.,P. Frankf.,TRUE,FALSE,,,,,
p.freer,P.Freer,P. Freer,TRUE,FALSE,,,,,
p.freib,P.Freib.,P. Freib.,TRUE,FALSE,,,,,
p.fuad.i.univ,P.Fuad I Univ.,P. Fuad Univ.,TRUE,FALSE,,,,,
p.gascou,P.Gascou,P. Gascou,TRUE,FALSE,,,,,
p.gen;1.2ed,P.Gen. 1 2nd ed.,P. Gen.(2) 1,TRUE,FALSE,,,,,
p.gen.,P.Gen.,P. Gen.,TRUE,FALSE,,,,,
p.genova,P.Genova,P. Genova,TRUE,FALSE,,,,,
p.giss.apoll,P.Giss.Apoll.,P. Giss. Apoll.,TRUE,FALSE,,,,,
p.giss.lit,P.Giss.Lit.,P. Giss. Lit.,TRUE,FALSE,,,,,
p.giss.univ,P.Giss.Univ.,P. Giss. Univ.,TRUE,FALSE,,,,,
p.giss,P.Giss.,P. Giss.,TRUE,FALSE,,,,,
p.got,P.Got.,P. Got.,TRUE,FALSE,,,,,
p.grad,P.Grad.,P. Grad.,TRUE,FALSE,,,,,
p.graux,P.Graux,P. Graux,TRUE,FALSE,,,,,
p.grenf,P.Grenf.,P. Grenf.,TRUE,FALSE,,,,,
p.gron,P.Gron.,P. Gron.,TRUE,FALSE,,,,,
p.gur,P.Gur.,P. Gurob,TRUE,FALSE,,,,,
p.hal,P.Hal.,P. Halle,TRUE,FALSE,,,,,
p.hamb,P.Hamb.,P. Hamb.,TRUE,FALSE,,,,,
p.harrauer,P.Harrauer,P. Harrauer,TRUE,FALSE,,,,,
p.harr,P.Harr.,P. Harris,TRUE,FALSE,,,,,
p.haun,P.Haun.,P. Haun.,TRUE,FALSE,,,,,
p.hausw.,P.Hausw.Manning,P. Hauswaldt Manning,TRUE,FALSE,,,,,
p.hawara,P.Hawara,P. Hawara,TRUE,FALSE,,,,,
p.heid.arab,P.Heid.Arab.,P. Heid. Arab.,TRUE,FALSE,,,,,
p.heid,P.Heid.,P. Heid. Gr.,TRUE,FALSE,,,,,
p.heid.kopt,P.Heid.Kopt.,P. Heid. Kopt.,TRUE,FALSE,,,,,
p.hels,P.Hels.,P. Hels.,TRUE,FALSE,,,,,
p.herakl.bank,P.Herakl.Bank,P. Herakl. Bank,TRUE,FALSE,,,,,
p.herm,P.Herm.,P. Herm.,TRUE,FALSE,,,,,
cpr;35,CPR 35,P. Herm. Boul. (CPR 35),TRUE,FALSE,,,,,
p.herm.landl,P.Herm.Landl.,P. Herm. Landl.,TRUE,FALSE,,,,,
p.hermias,P.Hermias,P. Hermias,TRUE,FALSE,,,,,
p.hermitage.copt.,P.Hermitage Copt.,P. Hermitage Copt.,TRUE,FALSE,,,,,
p.hever,P.Hever,P. Hever (Discoveries in the Judaean desert 27),TRUE,FALSE,,,,,
p.hib,P.Hib.,P. Hibeh,TRUE,FALSE,,,,,
p.hombert,P.Hombert,P. Hombert,TRUE,FALSE,,,,,
p.horak,P.Horak,P. Horak,TRUE,FALSE,,,,,
p.iand,P.Iand.,P. Iand.,TRUE,FALSE,,,,,
p.iand.zen,P.Iand.Zen.,P. Iand. Zen.,TRUE,FALSE,,,,,
p.ifao,P.IFAO,P. IFAO,TRUE,FALSE,,,,,
p.ital,P.Ital.,P. Ital.,TRUE,FALSE,,,,,
p.jena,P.Jena,P. Jena,TRUE,FALSE,,,,,
p.joerdens,P.Jördens,P. Jördens,TRUE,FALSE,,,,,
p.kar.goodsp,P.Kar.Goodsp.,P. Kar. Goodspeed,TRUE,FALSE,,,,,
p.kellis;5,P.Kellis 5,P. Kellis Copt. 1,TRUE,FALSE,,,,,
p.kellis;7,P.Kellis 7,P. Kellis Copt. 2,TRUE,FALSE,,,,,
p.kellis,P.Kellis,P. Kellis,TRUE,FALSE,,,,,
p.koeln.aegypt,P.Köln Ägypt.,P. Köln Ägypt.,TRUE,FALSE,,,,,
p.koeln.land,P.Köln Land.,P. Köln Land.,TRUE,FALSE,,,,,
